UTC_Time,Account,Operation,Coin,Change,Remark
2021-04-04 08:49:48,Spot,Transaction Related,CHZ,371.34000000,""
2021-04-04 08:49:48,Spot,Deposit,EUR,147.15000000,""
2021-04-04 08:49:48,Spot,Transaction Related,EUR,-147.15000000,""
2021-04-07 06:17:07,Spot,Large OTC trading,USDT,85.40160000,""
2021-04-07 06:17:07,Spot,Large OTC trading,DOT,-2.00000000,""
2021-04-07 06:22:41,Spot,Large OTC trading,USDT,-85.40160000,""
2021-04-07 06:22:41,Spot,Large OTC trading,AAVE,0.22499032,""
2021-04-10 07:30:13,Spot,Large OTC trading,USDT,74.33920000,""
2021-04-10 07:30:13,Spot,Large OTC trading,XRP,-65.00000000,""
2021-04-11 08:57:38,Card,transfer_in,DOT,0.85600943,""
2021-04-11 08:57:38,Spot,transfer_out,DOT,-0.85600943,""
2021-04-11 08:59:29,Spot,transfer_out,BNB,-0.03839052,""
2021-04-11 08:59:29,Card,transfer_in,BNB,0.03839052,""
2021-04-11 11:34:02,Card,Binance Card Spending,BNB,-0.03839052,""
2021-04-11 11:34:02,Card,Binance Card Spending,SXP,-1.22700000,""
2021-04-11 11:34:05,Spot,transfer_out,BNB,-0.02499672,""
2021-04-11 11:34:05,Card,transfer_in,BNB,0.02499672,""
2021-04-13 08:25:41,Spot,Large OTC trading,BTC,-0.00062411,""
2021-04-13 08:25:41,Spot,Large OTC trading,USDT,38.77595430,""
2021-04-13 08:26:57,Spot,Large OTC trading,BNB,0.20441882,""
2021-04-13 08:26:57,Spot,Large OTC trading,USDT,-113.11515430,""
2021-04-14 05:49:23,Card,Card Cashback,BNB,0.00041937,""
2021-04-14 07:20:12,Spot,Large OTC trading,DOGE,-800.00000000,""
2021-04-14 07:20:12,Spot,Large OTC trading,USDT,105.24160000,""
2021-04-14 07:23:04,Spot,Large OTC trading,USDT,35.64055000,""
2021-04-14 07:23:04,Spot,Large OTC trading,VET,-215.00000000,""
2021-04-14 07:23:50,Spot,Large OTC trading,USDT,57.61230000,""
2021-04-14 07:23:50,Spot,Large OTC trading,XRP,-30.00000000,""
2021-04-14 07:25:01,Spot,Large OTC trading,USDT,61.93660000,""
2021-04-14 07:25:01,Spot,Large OTC trading,DASH,-0.20000000,""
2021-04-14 11:18:18,Card,Binance Card Spending,BNB,-0.01300000,""
2021-04-14 11:18:21,Card,transfer_in,BNB,0.00579862,""
2021-04-14 11:18:21,Spot,transfer_out,BNB,-0.00579862,""
2021-04-15 05:11:56,Spot,transfer_out,BNB,-0.00229643,""
2021-04-15 05:11:56,Card,transfer_in,BNB,0.00229643,""
2021-04-15 13:07:01,Spot,Large OTC trading,BNB,0.27213748,""
2021-04-15 13:07:01,Spot,Large OTC trading,USDT,-150.00000000,""
2021-04-16 05:30:55,Card,transfer_in,BNB,0.00043666,""
2021-04-16 05:30:55,Spot,transfer_out,BNB,-0.00043666,""
2021-04-16 06:30:34,Spot,Large OTC trading,BTC,0.00180080,""
2021-04-16 06:30:34,Spot,Large OTC trading,USDT,-110.43105000,""
2021-04-16 06:50:46,Spot,Large OTC trading,BTC,-0.00180080,""
2021-04-16 06:50:46,Spot,Large OTC trading,USDT,110.34023832,""
2021-04-16 06:51:25,Spot,Large OTC trading,USDT,-110.34023832,""
2021-04-16 06:51:25,Spot,Large OTC trading,VET,641.10673073,""
2021-04-16 09:27:21,Card,Binance Card Spending,BNB,-0.00100000,""
2021-04-16 09:27:24,Spot,transfer_out,BNB,-0.00181840,""
2021-04-16 09:27:24,Card,transfer_in,BNB,0.00181840,""
2021-04-16 17:29:03,Card,Binance Card Spending,BNB,-0.01900000,""
2021-04-16 17:29:06,Card,transfer_in,BNB,0.01872994,""
2021-04-16 17:29:06,Spot,transfer_out,BNB,-0.01872994,""
2021-04-17 05:55:04,Card,Card Cashback,BNB,0.00013303,""
