UTC_Time,Account,Operation,Coin,Change,Remark
2021-02-14 12:39:50,Spot,Deposit,EUR,68.67000000,""
2021-02-14 12:39:50,Spot,Transaction Related,EUR,-68.67000000,""
2021-02-14 12:39:50,Spot,Transaction Related,ADA,95.20000000,""
2021-02-14 12:42:19,Spot,Transaction Related,EUR,-49.05000000,""
2021-02-14 12:42:19,Spot,Deposit,EUR,49.05000000,""
2021-02-14 12:42:20,Spot,Transaction Related,BTC,0.00119900,""
2021-02-14 18:43:36,Spot,Transaction Related,EUR,-29.43000000,""
2021-02-14 18:43:36,Spot,Transaction Related,CHZ,1019.00000000,""
2021-02-14 18:43:36,Spot,Deposit,EUR,29.43000000,""
2021-02-14 18:44:47,Spot,Transaction Related,EUR,-29.43000000,""
2021-02-14 18:44:47,Spot,Deposit,EUR,29.43000000,""
2021-02-14 18:44:47,Spot,Transaction Related,DOGE,593.90000000,""
2021-02-14 21:37:05,Spot,Transaction Related,EUR,-29.43000000,""
2021-02-14 21:37:05,Spot,Deposit,EUR,29.43000000,""
2021-02-14 21:37:05,Spot,Transaction Related,BTT,30329.00000000,""
2021-02-14 21:41:04,Spot,Transaction Related,USDT,17.71839900,""
2021-02-14 21:41:04,Spot,Transaction Related,EUR,-14.71000000,""
2021-02-14 21:41:04,Spot,Deposit,EUR,14.71000000,""
2021-02-14 21:44:07,Spot,Transaction Related,MATIC,166.60000000,""
2021-02-14 21:44:07,Spot,Deposit,EUR,14.71000000,""
2021-02-14 21:44:07,Spot,Transaction Related,EUR,-14.71000000,""
2021-02-20 01:05:59,Spot,Transaction Related,EUR,-32.37000000,""
2021-02-20 01:05:59,Spot,Deposit,EUR,32.37000000,""
2021-02-20 01:05:59,Spot,Transaction Related,DOT,1.02100000,""
2021-02-20 09:26:36,Spot,Transaction Related,BTC,-0.00021423,""
2021-02-20 09:26:36,Spot,Buy,DODO,1.50000000,""
2021-02-20 09:26:36,Spot,Fee,DODO,-0.00150000,""
2021-02-20 10:20:35,Spot,Transaction Related,USDT,-13.26319400,""
2021-02-20 10:20:35,Spot,Fee,DODO,-0.00168700,""
2021-02-20 10:20:35,Spot,Buy,DODO,1.68700000,""
2021-02-20 13:58:56,Spot,Fee,USDT,-0.04989727,""
2021-02-20 13:58:56,Spot,Buy,USDT,49.89727080,""
2021-02-20 13:58:56,Spot,Transaction Related,BTT,-30329.00000000,""
2021-02-20 14:04:07,Spot,Buy,BTT,30086.00000000,""
2021-02-20 14:04:07,Spot,Buy,BTT,2049.00000000,""
2021-02-20 14:04:07,Spot,Fee,BTT,-30.08600000,""
2021-02-20 14:04:07,Spot,Fee,BTT,-2.04900000,""
2021-02-20 14:04:07,Spot,Transaction Related,USDT,-50.83932280,""
2021-02-20 14:04:07,Spot,Transaction Related,USDT,-3.46260510,""
2021-02-23 17:06:55,Spot,Transaction Related,EUR,-98.10000000,""
2021-02-23 17:06:55,Spot,Transaction Related,BTC,0.00248400,""
2021-02-23 17:06:55,Spot,Deposit,EUR,98.10000000,""
2021-02-24 23:50:07,Spot,Large OTC trading,DOGE,-593.90000000,""
2021-02-24 23:50:07,Spot,Large OTC trading,EUR,26.86803600,""
2021-02-24 23:54:00,Spot,Large OTC trading,BTC,0.00065661,""
2021-02-24 23:54:00,Spot,Large OTC trading,EUR,-26.86803600,""
2021-02-24 23:56:25,Spot,Large OTC trading,LTC,0.27292353,""
2021-02-24 23:56:25,Spot,Large OTC trading,BTC,-0.00100000,""
2021-02-25 01:47:53,Spot,Transaction Related,CHZ,-1019.00000000,""
2021-02-25 01:47:53,Spot,Buy,USDT,54.56337400,""
2021-02-25 01:47:53,Spot,Fee,USDT,-0.05456337,""
2021-02-25 13:56:03,Spot,Large OTC trading,USDT,51.20310000,""
2021-02-25 13:56:03,Spot,Large OTC trading,BTC,-0.00100000,""
2021-02-25 14:14:10,Spot,Large OTC trading,ETH,0.03031185,""
2021-02-25 14:14:10,Spot,Large OTC trading,USDT,-50.00000000,""
2021-02-25 14:16:02,Spot,Large OTC trading,USDT,-55.71256126,""
2021-02-25 14:16:02,Spot,Large OTC trading,ADA,51.64021399,""
2021-02-25 16:07:19,Spot,Large OTC trading,USDT,34.49386360,""
2021-02-25 16:07:19,Spot,Large OTC trading,MATIC,-166.60000000,""
2021-02-25 16:12:52,Spot,Large OTC trading,USDT,-34.49386360,""
2021-02-25 16:12:52,Spot,Large OTC trading,ZEC,0.24930157,""
2021-02-26 02:43:56,Spot,Transaction Related,EUR,-196.20000000,""
2021-02-26 02:43:56,Spot,Deposit,EUR,196.20000000,""
2021-02-26 02:43:56,Spot,Transaction Related,BTC,0.00497300,""
2021-02-26 16:51:21,Spot,Buy,USDT,179.11068000,""
2021-02-26 16:51:21,Spot,Transaction Related,ADA,-146.80000000,""
2021-02-26 16:51:21,Spot,Fee,USDT,-0.17911068,""
2021-02-26 17:15:12,Spot,Transaction Related,USDT,-178.92815800,""
2021-02-26 17:15:12,Spot,Fee,ADA,-0.14780000,""
2021-02-26 17:15:12,Spot,Buy,ADA,147.80000000,""
2021-02-27 09:19:41,Spot,Fee,USDT,-0.10490670,""
2021-02-27 09:19:41,Spot,Transaction Related,ADA,-73.80000000,""
2021-02-27 09:19:41,Spot,Buy,USDT,104.90670000,""
2021-02-27 10:16:09,Spot,Large OTC trading,ETH,0.03734713,""
2021-02-27 10:16:09,Spot,Large OTC trading,USDT,-55.00000000,""
2021-02-27 12:40:44,Spot,Large OTC trading,BTC,-0.00100000,""
2021-02-27 12:40:44,Spot,Large OTC trading,ADA,33.90979993,""
2021-02-27 16:02:53,Spot,Large OTC trading,ADA,36.74061082,""
2021-02-27 16:02:53,Spot,Large OTC trading,USDT,-49.80520462,""
2021-02-28 14:03:22,Spot,Large OTC trading,ETH,-0.03000000,""
2021-02-28 14:03:22,Spot,Large OTC trading,BTC,0.00090623,""
2021-03-02 00:35:51,Spot,Transaction Related,BTC,-0.00098200,""
2021-03-02 00:35:51,Spot,Buy,USDT,48.78951124,""
2021-03-02 00:35:51,Spot,Fee,USDT,-0.04878951,""
2021-03-02 00:38:23,Spot,Large OTC trading,ADA,38.16605333,""
2021-03-02 00:38:23,Spot,Large OTC trading,USDT,-48.74072173,""
2021-03-02 20:26:11,Spot,Large OTC trading,USDT,71.08950000,""
2021-03-02 20:26:11,Spot,Large OTC trading,BTC,-0.00150000,""
2021-03-03 00:28:42,Spot,Large OTC trading,BTC,-0.00144761,""
2021-03-03 00:28:43,Spot,Large OTC trading,EUR,58.31508696,""
2021-03-03 08:02:12,Spot,Deposit,EUR,20.00000000,""
2021-03-03 12:22:52,Spot,Large OTC trading,EUR,-20.02876991,""
2021-03-03 12:22:53,Spot,Large OTC trading,USDT,24.10582631,""
2021-03-03 12:24:08,Spot,Large OTC trading,USDT,-24.11174483,""
2021-03-03 12:24:08,Spot,Large OTC trading,ADA,19.31195222,""
2021-03-03 12:27:58,Spot,Large OTC trading,BTC,-0.00134100,""
2021-03-03 12:27:59,Spot,Large OTC trading,USDT,69.21544680,""
2021-03-03 18:43:03,Spot,Large OTC trading,EUR,-58.28631705,""
2021-03-03 18:43:03,Spot,Large OTC trading,USDT,70.18080577,""
2021-03-04 01:18:02,Spot,Large OTC trading,USDT,-30.00000000,""
2021-03-04 01:18:02,Spot,Large OTC trading,ADA,24.34077079,""
2021-03-04 09:21:48,Spot,Fee,BTC,-0.00000205,""
2021-03-04 09:21:48,Spot,Transaction Related,USDT,-99.99926905,""
2021-03-04 09:21:48,Spot,Buy,BTC,0.00205300,""
2021-03-04 15:37:06,Spot,Large OTC trading,USDT,-30.00000000,""
2021-03-04 15:37:07,Spot,Large OTC trading,ADA,25.97020352,""
2021-03-04 18:16:44,Spot,Large OTC trading,USDT,-50.48056500,""
2021-03-04 18:16:44,Spot,Large OTC trading,BTC,0.00104410,""
2021-03-05 09:22:58,Spot,Deposit,EUR,400.00000000,""
2021-03-05 13:07:38,Spot,Large OTC trading,USDT,476.69200000,""
2021-03-05 13:07:38,Spot,Large OTC trading,EUR,-400.00000000,""
2021-03-05 13:14:09,Spot,Large OTC trading,USDT,-76.00000000,""
2021-03-05 13:14:09,Spot,Large OTC trading,ETH,0.05104954,""
2021-03-05 13:15:40,Spot,Large OTC trading,USDT,-50.00000000,""
2021-03-05 13:15:40,Spot,Large OTC trading,LTC,0.28449988,""
2021-03-05 13:16:48,Spot,Large OTC trading,USDT,-50.00000000,""
2021-03-05 13:16:48,Spot,Large OTC trading,MATIC,232.00241283,""
2021-03-05 13:18:03,Spot,Large OTC trading,USDT,-50.00000000,""
2021-03-05 13:18:03,Spot,Large OTC trading,DOT,1.50702727,""
2021-03-05 13:19:11,Spot,Large OTC trading,DASH,0.24051297,""
2021-03-05 13:19:11,Spot,Large OTC trading,USDT,-50.00000000,""
2021-03-05 15:58:45,Spot,Large OTC trading,USDT,-50.00000000,""
2021-03-05 15:58:45,Spot,Large OTC trading,SXP,21.38900178,""
2021-03-05 16:07:18,Spot,Large OTC trading,BTC,0.00104638,""
2021-03-05 16:07:18,Spot,Large OTC trading,USDT,-50.00000000,""
2021-03-06 00:15:16,Spot,Large OTC trading,BTC,0.00204978,""
2021-03-06 00:15:16,Spot,Large OTC trading,USDT,-100.69200000,""
2021-03-06 00:49:43,Spot,Large OTC trading,MATIC,-232.00241283,""
2021-03-06 00:49:44,Spot,Large OTC trading,USDT,50.55030972,""
2021-03-06 00:50:42,Spot,Large OTC trading,USDT,51.06196395,""
2021-03-06 00:50:42,Spot,Large OTC trading,SXP,-21.38900178,""
2021-03-06 00:52:32,Spot,Large OTC trading,USDT,-101.61227367,""
2021-03-06 00:52:33,Spot,Large OTC trading,ADA,86.48073880,""
2021-03-06 22:45:31,Spot,Large OTC trading,BTC,-0.00619121,""
2021-03-06 22:45:32,Spot,Large OTC trading,USDT,302.43875114,""
2021-03-07 01:25:10,Spot,Large OTC trading,USDT,-302.43875114,""
2021-03-07 01:25:10,Spot,Large OTC trading,ADA,268.71979168,""
2021-03-09 12:27:50,Spot,Large OTC trading,USDT,353.52600000,""
2021-03-09 12:27:50,Spot,Large OTC trading,ADA,-300.00000000,""
2021-03-09 16:55:35,Spot,Large OTC trading,USDT,94.07472039,""
2021-03-09 16:55:35,Spot,Large OTC trading,DOT,-2.52802727,""
2021-03-09 16:56:26,Spot,Large OTC trading,ETH,-0.08870852,""
2021-03-09 16:56:26,Spot,Large OTC trading,USDT,162.46521895,""
2021-03-09 16:56:53,Spot,Large OTC trading,LTC,-0.55742341,""
2021-03-09 16:56:53,Spot,Large OTC trading,USDT,111.01477407,""
2021-03-09 16:57:21,Spot,Large OTC trading,USDT,56.23602111,""
2021-03-09 16:57:21,Spot,Large OTC trading,DASH,-0.24051297,""
2021-03-09 16:58:03,Spot,Large OTC trading,ADA,-307.53233508,""
2021-03-09 16:58:04,Spot,Large OTC trading,USDT,358.80412598,""
2021-03-09 16:59:12,Spot,Large OTC trading,USDT,33.72800941,""
2021-03-09 16:59:12,Spot,Large OTC trading,ZEC,-0.24930157,""
2021-03-09 18:24:51,Spot,Large OTC trading,EUR,984.53066318,""
2021-03-09 18:24:51,Spot,Large OTC trading,USDT,-1169.84886991,""
2021-03-09 23:25:19,Spot,Large OTC trading,USDT,94.76899560,""
2021-03-09 23:25:19,Spot,Large OTC trading,BTC,-0.00173400,""
2021-03-09 23:26:03,Spot,Large OTC trading,USDT,-94.76899560,""
2021-03-09 23:26:03,Spot,Large OTC trading,EUR,79.70210893,""
2021-03-09 23:27:26,Spot,Buy,USDT,42.85617000,""
2021-03-09 23:27:26,Spot,Transaction Related,BTT,-32102.00000000,""
2021-03-09 23:27:26,Spot,Fee,USDT,-0.04285617,""
2021-03-09 23:28:42,Spot,Transaction Related,DODO,-3.18300000,""
2021-03-09 23:28:42,Spot,Buy,USDT,13.00573800,""
2021-03-09 23:28:42,Spot,Fee,USDT,-0.01300574,""
2021-03-09 23:33:03,Spot,Large OTC trading,USDT,-55.80604609,""
2021-03-09 23:33:03,Spot,Large OTC trading,EUR,46.93212071,""
2021-03-10 16:40:21,Spot,Large OTC trading,USDT,400.00000000,""
2021-03-10 16:40:21,Spot,Large OTC trading,EUR,-336.92154782,""
2021-03-10 16:41:28,Spot,Large OTC trading,USDT,-400.00000000,""
2021-03-10 16:41:28,Spot,Large OTC trading,ADA,342.10256235,""
2021-03-11 16:35:55,Spot,Large OTC trading,USDT,924.85690290,""
2021-03-11 16:35:55,Spot,Large OTC trading,EUR,-774.24334500,""
2021-03-11 16:37:02,Spot,Large OTC trading,DOT,5.42403771,""
2021-03-11 16:37:02,Spot,Large OTC trading,USDT,-200.00000000,""
2021-03-11 16:42:00,Spot,Large OTC trading,USDT,-100.00000000,""
2021-03-11 16:42:00,Spot,Large OTC trading,LTC,0.49965524,""
2021-03-11 16:42:59,Spot,Large OTC trading,USDT,-100.00000000,""
2021-03-11 16:42:59,Spot,Large OTC trading,LINK,3.38404895,""
2021-03-11 16:45:14,Spot,Large OTC trading,USDT,-50.00000000,""
2021-03-11 16:45:14,Spot,Large OTC trading,XTZ,12.11806877,""
2021-03-13 10:30:26,Spot,Large OTC trading,USDT,-100.00000000,""
2021-03-13 10:30:26,Spot,Large OTC trading,BTC,0.00167500,""
2021-03-13 11:38:35,Spot,Large OTC trading,BTC,-0.00167500,""
2021-03-13 11:38:36,Spot,Large OTC trading,USDT,100.25293750,""
2021-03-13 12:25:02,Spot,Large OTC trading,USDT,-150.00000000,""
2021-03-13 12:25:02,Spot,Large OTC trading,VET,2215.24829241,""
2021-03-13 12:26:39,Spot,Large OTC trading,USDT,-150.00000000,""
2021-03-13 12:26:39,Spot,Large OTC trading,DASH,0.63359846,""
